100 24
0 1 0.625987
0 2 0.870292
0 4 0.197331
0 14 0.144738
0 16 0.863604
0 23 0.296952
0 30 0.848260
0 33 0.677458
0 40 0.494119
0 45 0.991059
0 48 0.584889
0 49 0.130005
0 74 0.753127
0 76 0.468337
0 93 0.237098
0 95 0.846937
0 96 0.515445
1 0 0.625987
1 1 0.717678
1 4 0.415089
1 14 0.721813
1 17 0.989415
1 20 0.363121
1 30 0.812045
1 32 0.044483
1 44 0.017181
1 45 0.762932
1 52 0.657229
1 58 0.823727
1 59 0.974265
1 65 0.454742
1 67 0.019004
1 71 0.553116
1 79 0.490440
1 82 0.003873
1 92 0.962752
1 98 0.580212
2 0 0.870292
2 4 0.650359
2 6 0.716794
2 12 0.654257
2 15 0.771962
2 16 0.741871
2 23 0.095818
2 25 0.381350
2 27 0.616150
2 29 0.849968
2 47 0.812389
2 51 0.340926
2 52 0.796949
2 63 0.325865
2 77 0.280737
2 80 0.955674
2 88 0.737302
2 90 0.915421
2 98 0.292663
3 7 0.003081
3 19 0.775050
3 21 0.876207
3 25 0.906099
3 44 0.121523
3 48 0.457232
3 52 0.241668
3 54 0.719972
3 62 0.818683
3 70 0.548515
3 73 0.887193
3 76 0.695729
3 78 0.126040
3 79 0.857743
3 81 0.186076
3 97 0.802407
4 0 0.197331
4 1 0.415089
4 2 0.650359
4 4 0.296227
4 15 0.961074
4 16 0.793968
4 33 0.446639
4 37 0.105356
4 41 0.685503
4 46 0.281835
4 47 0.874527
4 52 0.361760
4 53 0.034224
4 57 0.943252
4 59 0.665915
4 65 0.486210
4 81 0.443598
4 87 0.818646
4 90 0.153656
5 6 0.627624
5 17 0.178397
5 29 0.064407
5 31 0.360988
5 33 0.401765
5 35 0.559720
5 41 0.701606
5 47 0.259464
5 48 0.804604
5 52 0.139506
5 61 0.690454
5 65 0.173699
5 68 0.080633
5 72 0.630624
5 77 0.242386
5 87 0.097475
6 2 0.716794
6 5 0.627624
6 10 0.552007
6 11 0.253210
6 18 0.441634
6 30 0.802482
6 43 0.523171
6 45 0.151335
6 46 0.358220
6 60 0.855575
6 86 0.371389
6 90 0.128779
7 3 0.003081
7 16 0.185472
7 18 0.594922
7 21 0.434321
7 22 0.664916
7 23 0.740752
7 27 0.588734
7 37 0.303516
7 46 0.565158
7 54 0.588669
7 68 0.910411
7 78 0.961780
7 79 0.174005
7 81 0.522775
7 82 0.718176
7 83 0.878065
8 12 0.776471
8 15 0.127272
8 17 0.890956
8 33 0.525855
8 41 0.765939
8 44 0.838423
8 51 0.906517
8 56 0.066549
8 67 0.406275
8 75 0.498798
8 79 0.584058
8 86 0.493658
8 93 0.750091
9 13 0.926122
9 17 0.408025
9 20 0.399834
9 23 0.893362
9 45 0.218460
9 52 0.839077
9 56 0.121868
9 58 0.545191
9 62 0.155846
9 64 0.671152
9 74 0.043736
9 78 0.895770
9 83 0.269396
9 89 0.786059
10 6 0.552007
10 13 0.153333
10 16 0.373156
10 17 0.499046
10 18 0.276429
10 28 0.953477
10 38 0.520745
10 47 0.525525
10 53 0.022456
10 55 0.158126
10 63 0.964655
10 74 0.804205
10 76 0.063837
10 82 0.692616
10 84 0.425642
10 85 0.635654
10 89 0.862486
10 90 0.063280
10 93 0.970699
10 98 0.443826
10 99 0.178132
11 6 0.253210
11 13 0.746222
11 18 0.010260
11 24 0.665420
11 29 0.840321
11 35 0.065058
11 45 0.590225
11 51 0.820848
11 64 0.388437
11 73 0.753429
11 74 0.574562
11 76 0.360219
11 83 0.341531
11 93 0.831439
11 94 0.197126
12 2 0.654257
12 8 0.776471
12 21 0.709915
12 26 0.008199
12 29 0.888618
12 32 0.231719
12 33 0.615195
12 38 0.076241
12 41 0.907264
12 42 0.529079
12 44 0.982017
12 48 0.988766
12 49 0.112260
12 54 0.054427
12 58 0.281955
12 66 0.440678
12 86 0.655460
12 88 0.306773
12 89 0.881206
12 95 0.357585
12 97 0.601607
13 9 0.926122
13 10 0.153333
13 11 0.746222
13 19 0.711293
13 21 0.876227
13 27 0.543892
13 35 0.500955
13 37 0.738053
13 53 0.110382
13 55 0.477770
13 59 0.538901
13 61 0.523882
13 68 0.401232
13 70 0.083220
13 71 0.507239
13 74 0.251274
13 75 0.795428
13 80 0.694059
13 84 0.937368
13 85 0.370022
13 87 0.111893
13 93 0.550110
13 95 0.643083
13 99 0.011900
14 0 0.144738
14 1 0.721813
14 14 0.338920
14 16 0.976739
14 21 0.901911
14 22 0.549316
14 24 0.734486
14 29 0.279620
14 39 0.532250
14 54 0.623429
14 62 0.861061
14 64 0.955797
14 65 0.200360
14 70 0.852816
14 71 0.864236
14 72 0.345707
14 84 0.854572
14 86 0.755472
14 87 0.214559
14 91 0.213313
14 92 0.434145
14 93 0.183711
14 95 0.326407
15 2 0.771962
15 4 0.961074
15 8 0.127272
15 18 0.072789
15 21 0.841189
15 23 0.534957
15 26 0.888127
15 27 0.797549
15 32 0.385221
15 46 0.136787
15 53 0.552727
15 57 0.052814
15 64 0.745431
15 70 0.356901
15 73 0.353599
15 77 0.345412
15 81 0.284676
15 83 0.438890
15 88 0.552511
15 92 0.173373
15 93 0.820675
15 99 0.272340
16 0 0.863604
16 2 0.741871
16 4 0.793968
16 7 0.185472
16 10 0.373156
16 14 0.976739
16 24 0.685636
16 33 0.506698
16 36 0.086710
16 38 0.203483
16 44 0.017962
16 45 0.250035
16 46 0.925568
16 50 0.422120
16 57 0.268300
16 59 0.095723
16 65 0.865223
16 71 0.342680
16 77 0.222373
16 79 0.038473
16 82 0.743148
16 85 0.637260
16 88 0.675836
16 91 0.964137
17 1 0.989415
17 5 0.178397
17 8 0.890956
17 9 0.408025
17 10 0.499046
17 43 0.399864
17 47 0.711146
17 50 0.246632
17 71 0.521515
17 74 0.660869
17 80 0.496092
17 92 0.873346
17 96 0.920011
18 6 0.441634
18 7 0.594922
18 10 0.276429
18 11 0.010260
18 15 0.072789
18 25 0.663174
18 26 0.391381
18 41 0.201146
18 43 0.307017
18 48 0.456959
18 59 0.190018
18 60 0.846704
18 68 0.309846
18 72 0.078671
18 79 0.063831
18 83 0.030985
18 85 0.321351
18 87 0.558951
18 89 0.389889
18 96 0.946954
18 99 0.479201
19 3 0.775050
19 13 0.711293
19 20 0.340668
19 24 0.693736
19 26 0.872023
19 40 0.687681
19 41 0.779200
19 50 0.872638
19 54 0.229700
19 61 0.917383
19 62 0.035426
19 64 0.782953
19 69 0.691912
19 74 0.919180
19 77 0.536958
19 80 0.791760
19 83 0.692342
19 86 0.855481
19 87 0.953388
19 90 0.624104
19 96 0.160253
19 97 0.423095
20 1 0.363121
20 9 0.399834
20 19 0.340668
20 24 0.656323
20 48 0.559877
20 50 0.266623
20 55 0.880322
20 58 0.263758
20 67 0.225113
20 69 0.670211
