100 24
1 3 0.664438
1 13 0.590944
1 17 0.655779
1 20 0.872673
1 25 0.829382
1 29 0.953315
1 30 0.589027
1 40 0.052128
1 42 0.523904
1 45 0.474484
1 46 0.361999
1 47 0.553318
1 59 0.624345
1 61 0.346019
1 62 0.305001
1 66 0.717042
1 71 0.440940
1 72 0.554369
1 73 0.114245
1 74 0.635088
1 75 0.350227
1 84 0.036090
1 94 0.611102
1 96 0.211177
2 12 0.174376
2 17 0.867039
2 22 0.702509
2 23 0.390910
2 26 0.729493
2 29 0.941871
2 34 0.659477
2 57 0.349864
2 60 0.246087
2 65 0.815712
2 69 0.286254
2 72 0.823947
2 75 0.467771
2 76 0.794068
2 83 0.533563
2 87 0.919668
2 93 0.339884
2 94 0.341080
2 95 0.114607
3 1 0.664438
3 10 0.343782
3 18 0.934498
3 27 0.222679
3 32 0.284368
3 35 0.026782
3 37 0.003311
3 44 0.170563
3 50 0.357325
3 51 0.233821
3 53 0.747417
3 59 0.112209
3 62 0.983658
3 69 0.558810
3 71 0.018939
3 73 0.711835
3 89 0.311452
3 98 0.293800
4 14 0.245817
4 17 0.114127
4 18 0.633350
4 20 0.160348
4 24 0.148674
4 32 0.086972
4 40 0.597722
4 41 0.850378
4 48 0.695491
4 57 0.678524
4 58 0.238030
4 66 0.459597
4 72 0.669795
4 76 0.620609
4 81 0.926429
4 85 0.747551
4 86 0.379019
4 97 0.084731
5 5 0.225498
5 6 0.668385
5 11 0.930229
5 36 0.708254
5 40 0.074963
5 48 0.106449
5 56 0.756580
5 58 0.892897
5 74 0.565059
5 78 0.070731
5 82 0.282778
5 83 0.278053
5 88 0.848864
5 92 0.603004
5 96 0.119078
5 97 0.307809
6 5 0.668385
6 6 0.082626
6 14 0.936925
6 20 0.178930
6 21 0.481884
6 23 0.109755
6 32 0.889932
6 33 0.052533
6 49 0.700377
6 65 0.396801
6 67 0.920000
6 80 0.441708
6 81 0.477341
6 83 0.075458
6 86 0.330944
7 9 0.299776
7 12 0.606934
7 15 0.329297
7 18 0.802907
7 20 0.495369
7 22 0.512166
7 38 0.283605
7 48 0.494668
7 52 0.228327
7 55 0.510215
7 63 0.477973
7 68 0.062698
7 71 0.928300
7 78 0.676117
7 79 0.260692
7 83 0.032723
7 97 0.445619
8 9 0.319905
8 16 0.604801
8 34 0.956409
8 35 0.629297
8 37 0.207158
8 41 0.005092
8 42 0.349534
8 57 0.070415
8 73 0.734359
8 75 0.400418
8 85 0.083860
8 89 0.696952
8 90 0.125924
8 94 0.340554
8 99 0.138795
9 7 0.299776
9 8 0.319905
9 11 0.216838
9 13 0.223613
9 17 0.394250
9 19 0.697086
9 20 0.755444
9 21 0.540685
9 29 0.990003
9 33 0.974801
9 38 0.738081
9 42 0.744995
9 43 0.019287
9 60 0.205044
9 62 0.804038
9 68 0.249907
9 79 0.195531
9 85 0.490606
9 86 0.925450
9 92 0.618881
10 3 0.343782
10 12 0.614176
10 13 0.240891
10 14 0.430391
10 15 0.379452
10 24 0.535836
10 38 0.036266
10 66 0.560747
10 68 0.399837
10 75 0.199877
10 79 0.371381
10 82 0.560092
10 83 0.360962
10 86 0.285196
11 5 0.930229
11 9 0.216838
11 15 0.367959
11 29 0.345722
11 34 0.338846
11 43 0.042373
11 52 0.137471
11 58 0.568397
11 62 0.800476
11 66 0.176776
11 69 0.925779
11 77 0.000644
11 79 0.224424
11 81 0.456407
11 93 0.179126
11 94 0.830741
11 99 0.948651
12 2 0.174376
12 7 0.606934
12 10 0.614176
12 12 0.649003
12 15 0.522343
12 18 0.280743
12 26 0.071125
12 28 0.014620
12 29 0.038556
12 32 0.559339
12 37 0.247690
12 42 0.725135
12 46 0.198627
12 50 0.527214
12 54 0.543709
12 56 0.051038
12 64 0.688828
12 92 0.719004
12 94 0.986764
12 98 0.927750
12 100 0.622678
13 1 0.590944
13 9 0.223613
13 10 0.240891
13 23 0.129044
13 28 0.892984
13 34 0.820116
13 37 0.270911
13 39 0.542790
13 43 0.992338
13 47 0.600904
13 62 0.084987
13 70 0.169538
13 71 0.724537
13 73 0.828427
13 76 0.660932
13 81 0.868783
13 92 0.825368
13 100 0.278728
14 4 0.245817
14 6 0.936925
14 10 0.430391
14 17 0.630801
14 36 0.586384
14 44 0.285228
14 45 0.370269
14 47 0.482178
14 53 0.125883
14 54 0.077971
14 58 0.980443
14 73 0.750868
14 76 0.670652
14 78 0.251207
14 82 0.508118
14 84 0.145728
15 7 0.329297
15 10 0.379452
15 11 0.367959
15 12 0.522343
15 17 0.212749
15 21 0.534080
15 26 0.811702
15 28 0.719714
15 31 0.203403
15 33 0.218188
15 35 0.825955
15 41 0.492320
15 44 0.035574
15 51 0.420441
15 55 0.260064
15 57 0.572947
15 61 0.973631
15 65 0.111879
15 71 0.136369
15 73 0.447334
15 85 0.364039
15 98 0.889661
16 8 0.604801
16 18 0.276615
16 20 0.301267
16 23 0.995176
16 25 0.890575
16 28 0.664633
16 44 0.936235
16 47 0.072927
16 56 0.793983
16 64 0.157925
16 69 0.051881
16 72 0.491640
16 75 0.329637
16 91 0.141615
16 99 0.030513
17 1 0.655779
17 2 0.867039
17 4 0.114127
17 9 0.394250
17 14 0.630801
17 15 0.212749
17 19 0.289222
17 33 0.857122
17 42 0.335271
17 45 0.411197
17 56 0.686575
17 57 0.293440
17 64 0.697633
17 67 0.673300
17 74 0.740938
17 76 0.439325
17 85 0.972615
17 87 0.244650
17 88 0.468292
17 93 0.218016
17 96 0.914443
18 3 0.934498
18 4 0.633350
18 7 0.802907
18 12 0.280743
18 16 0.276615
18 27 0.086834
18 60 0.453722
18 63 0.449810
18 72 0.193426
18 74 0.028878
18 76 0.290700
18 77 0.021200
18 85 0.770575
18 89 0.857227
18 90 0.105964
18 94 0.590374
18 97 0.365690
18 100 0.170688
19 9 0.697086
19 17 0.289222
19 27 0.810350
19 31 0.671461
19 38 0.439020
19 42 0.683096
19 43 0.587806
19 44 0.636153
19 51 0.019673
19 62 0.245992
19 66 0.976174
19 83 0.242779
19 87 0.472157
19 95 0.755058
19 98 0.968025
20 1 0.872673
20 4 0.160348
20 6 0.178930
20 7 0.495369
20 9 0.755444
20 16 0.301267
20 21 0.765301
20 30 0.557420
20 35 0.770363
20 40 0.759163
20 44 0.201319
20 45 0.724061
20 61 0.770137
20 65 0.957619
20 74 0.538247
20 80 0.575331
20 94 0.430250
20 97 0.684785
20 99 0.607865
20 100 0.247700
21 6 0.481884
21 9 0.540685
21 15 0.534080
21 20 0.765301
21 33 0.937254
21 35 0.318293
21 42 0.004324
21 46 0.237406
21 49 0.316519
21 53 0.112928
21 61 0.745642
21 62 0.093803
21 64 0.269848
21 74 0.422798
21 75 0.890434
